GeneID	SRR1023811	SRR1023810	SRR1023805	SRR1023808	SRR1023812	SRR1023806	SRR1023809	SRR1023807
WP_003407419.1	9180	7587	6344	4890	8096	7942	6467	6526
WP_003407422.1	2425	1661	1871	1394	2157	2140	1577	2033
WP_003407426.1	95	62	65	44	65	87	48	56
WP_009937558.1	456	474	444	199	400	576	465	232
WP_003898881.1	1627	1397	1792	806	1550	1801	1330	888
WP_003407433.1	2596	2766	2831	1178	2549	3250	2428	1460
WP_003407437.1	4492	4470	4385	1850	4232	5126	3952	2209
WP_003407443.1	6496	6109	6243	2673	6103	7175	5528	3321
WP_003407447.1	6656	6221	5431	2711	5541	7331	4917	3560
WP_003407451.1	21539	20997	17969	9204	19377	22885	18060	11565
WP_009938368.1	261	203	235	133	309	225	236	202
WP_042507751.1	746	552	550	384	787	615	602	593
WP_003898882.1	5702	3148	4008	2965	6016	4259	3525	3757
WP_015345072.1	577	364	390	308	568	425	383	408
WP_003904629.1	2337	2270	2754	916	2055	2811	2277	1089
WP_003407462.1	4238	4949	4768	1860	3845	5247	4101	2406
WP_042507544.1	523	539	500	199	483	645	439	276
WP_003407466.1	1313	790	902	417	1214	992	777	566
WP_003407475.1	1678	1561	2177	661	1672	2060	1532	817
WP_003407477.1	2789	2164	2695	1011	2743	2966	2230	1294
WP_085973485.1	1173	714	1056	316	1168	1021	866	388
WP_003917485.1	5310	4696	5379	1633	5044	5651	4378	1970
WP_003902080.1	3854	3273	2744	3890	3516	3191	2743	5793
WP_003407484.1	12128	9999	9044	12355	9733	11328	8679	15679
WP_003407487.1	6534	4526	5373	8465	5110	6763	4209	12026
WP_003407489.1	4637	3618	3275	3478	3836	4377	2961	5086
WP_003407490.1	4857	3454	4091	5555	4065	5212	3253	7486
WP_003407491.1	2537	1541	1782	2078	2038	2539	1534	3136
WP_003407492.1	2443	1533	1845	2007	2223	2356	1564	2835
WP_003900343.1	3398	2118	1706	1941	2926	2112	1656	2612
WP_003407494.1	8912	5083	3447	4337	7114	5194	3513	6310
WP_003900344.1	4119	5337	5186	2213	3756	6460	4421	3119
WP_003900345.1	1305	923	1084	620	1229	1127	889	710
WP_003407501.1	3409	1270	786	1195	2655	1026	1008	1640
WP_003898888.1	5744	3282	3798	2427	5445	4072	3111	2958
WP_003407507.1	5036	3238	3729	2332	4845	4152	3104	2836
WP_003407511.1	428	263	372	189	463	336	288	251
WP_003407514.1	1255	969	841	453	1123	1037	916	619
WP_003898889.1	14406	10748	9054	5575	12212	10985	8724	6818
WP_003407520.1	4927	3636	3777	1791	4400	4400	3548	2375
WP_003407523.1	11456	14865	19053	8403	10950	21908	13266	10571
WP_003407525.1	4670	5935	7393	3807	4372	8868	5178	5034
WP_003898890.1	14406	11613	11940	7792	12930	13843	10633	8718
WP_003407529.1	9275	8519	8610	4665	8782	10678	7819	6033
WP_010924411.1	6052	4974	6556	2703	6063	6486	5550	3130
